Statement,Speaker,Rating,Date,BinaryTarget
Teachers play a key role in shaping the minds and values of future generations.,Mohit Agarwal,Medium,2025-08-20,0
Modern classrooms are adopting smart boards and interactive learning tools.,Rita Sahu,High,2024-12-20,0
Vocational training helps students develop practical skills for real-world jobs.,Prof. Rajesh Kumar,High,2024-10-25,1
Students learn better when education is connected to real-life applications.,Sandeep Reddy,High,2024-10-08,0
Students learn better when education is connected to real-life applications.,Dr. Meera Sharma,High,2024-11-29,1
Teachers play a key role in shaping the minds and values of future generations.,Mohit Agarwal,High,2025-02-21,1
Digital libraries have replaced traditional ones in many universities.,Prof. Rajesh Kumar,Medium,2024-11-03,0
Online learning has made education accessible to students in remote areas.,Sandeep Reddy,Low,2025-04-21,0
Online learning has made education accessible to students in remote areas.,Vikas Menon,Medium,2025-04-04,0
Digital libraries have replaced traditional ones in many universities.,Mohit Agarwal,Low,2025-09-06,1
"Inclusive education ensures that every child, regardless of ability, gets equal learning opportunities.",Dr. Meera Sharma,High,2025-09-29,0
"Education should focus on creativity and critical thinking, not just memorization.",Anita Desai,Low,2025-09-28,0
Modern classrooms are adopting smart boards and interactive learning tools.,Arun Patel,Medium,2025-01-14,1
Modern classrooms are adopting smart boards and interactive learning tools.,Vikas Menon,High,2025-08-07,0
"Inclusive education ensures that every child, regardless of ability, gets equal learning opportunities.",Anita Desai,High,2024-11-20,0
Online learning has made education accessible to students in remote areas.,Rita Sahu,High,2024-10-27,0
The use of artificial intelligence is transforming modern education systems.,Arun Patel,Medium,2025-07-14,1
The use of artificial intelligence is transforming modern education systems.,Dr. Meera Sharma,Low,2025-08-10,1
Vocational training helps students develop practical skills for real-world jobs.,Arun Patel,High,2025-01-04,1
Online learning has made education accessible to students in remote areas.,Arun Patel,Low,2025-07-29,1
Modern classrooms are adopting smart boards and interactive learning tools.,Vikas Menon,High,2025-05-23,1
Online learning has made education accessible to students in remote areas.,Kiran Bhatia,High,2025-08-12,0
Students learn better when education is connected to real-life applications.,Kiran Bhatia,High,2025-03-31,1
Digital libraries have replaced traditional ones in many universities.,Prof. Rajesh Kumar,Low,2025-03-19,1
Digital libraries have replaced traditional ones in many universities.,Rita Sahu,Medium,2025-07-04,0
Vocational training helps students develop practical skills for real-world jobs.,Dr. Meera Sharma,Low,2025-02-03,0
"Inclusive education ensures that every child, regardless of ability, gets equal learning opportunities.",Vikas Menon,High,2025-08-19,1
Students learn better when education is connected to real-life applications.,Mohit Agarwal,Medium,2025-06-29,0
"Inclusive education ensures that every child, regardless of ability, gets equal learning opportunities.",Sandeep Reddy,Medium,2024-11-05,0
Vocational training helps students develop practical skills for real-world jobs.,Prof. Rajesh Kumar,Medium,2025-01-24,0
"Inclusive education ensures that every child, regardless of ability, gets equal learning opportunities.",Prof. Rajesh Kumar,Medium,2024-11-07,1
"Education should focus on creativity and critical thinking, not just memorization.",Kiran Bhatia,Low,2025-09-12,1
Online learning has made education accessible to students in remote areas.,Dr. Neha Verma,High,2025-01-31,0
"Education should focus on creativity and critical thinking, not just memorization.",Rita Sahu,High,2025-05-28,1
Online learning has made education accessible to students in remote areas.,Vikas Menon,Medium,2024-10-07,0
Scholarships and financial aid allow talented students to pursue higher studies.,Anita Desai,Medium,2025-04-04,0
Teachers play a key role in shaping the minds and values of future generations.,Kiran Bhatia,Low,2024-11-23,0
Online learning has made education accessible to students in remote areas.,Kiran Bhatia,High,2025-07-07,1
Modern classrooms are adopting smart boards and interactive learning tools.,Dr. Neha Verma,Medium,2024-10-31,0
"Education should focus on creativity and critical thinking, not just memorization.",Rita Sahu,High,2025-05-28,1
Online learning has made education accessible to students in remote areas.,Sandeep Reddy,Low,2025-01-06,1
Digital libraries have replaced traditional ones in many universities.,Mohit Agarwal,Medium,2025-01-13,0
"Inclusive education ensures that every child, regardless of ability, gets equal learning opportunities.",Rita Sahu,Medium,2025-08-18,0
Students learn better when education is connected to real-life applications.,Dr. Meera Sharma,High,2024-12-02,0
Modern classrooms are adopting smart boards and interactive learning tools.,Kiran Bhatia,Low,2024-10-06,0
Modern classrooms are adopting smart boards and interactive learning tools.,Kiran Bhatia,High,2024-12-18,1
Teachers play a key role in shaping the minds and values of future generations.,Anita Desai,High,2025-06-16,0
"Education should focus on creativity and critical thinking, not just memorization.",Anita Desai,High,2024-11-22,0
Vocational training helps students develop practical skills for real-world jobs.,Kiran Bhatia,Low,2025-03-17,1
Online learning has made education accessible to students in remote areas.,Anita Desai,High,2025-05-21,0
Vocational training helps students develop practical skills for real-world jobs.,Sandeep Reddy,High,2025-06-26,0
Scholarships and financial aid allow talented students to pursue higher studies.,Arun Patel,Low,2025-07-19,0
The use of artificial intelligence is transforming modern education systems.,Dr. Neha Verma,Low,2025-06-19,0
"Education should focus on creativity and critical thinking, not just memorization.",Arun Patel,Medium,2025-01-23,1
Digital libraries have replaced traditional ones in many universities.,Dr. Meera Sharma,Medium,2025-03-01,1
Online learning has made education accessible to students in remote areas.,Mohit Agarwal,Medium,2025-07-26,0
Students learn better when education is connected to real-life applications.,Arun Patel,Low,2025-03-04,1
Vocational training helps students develop practical skills for real-world jobs.,Vikas Menon,Low,2025-08-16,1
"Inclusive education ensures that every child, regardless of ability, gets equal learning opportunities.",Sandeep Reddy,Medium,2024-11-05,0
Digital libraries have replaced traditional ones in many universities.,Anita Desai,High,2025-08-23,0
Scholarships and financial aid allow talented students to pursue higher studies.,Kiran Bhatia,High,2025-09-21,0
The use of artificial intelligence is transforming modern education systems.,Dr. Meera Sharma,High,2025-01-31,1
Students learn better when education is connected to real-life applications.,Mohit Agarwal,Medium,2025-03-10,0
Scholarships and financial aid allow talented students to pursue higher studies.,Anita Desai,Medium,2025-04-04,0
Scholarships and financial aid allow talented students to pursue higher studies.,Sandeep Reddy,Medium,2025-01-16,1
The use of artificial intelligence is transforming modern education systems.,Prof. Rajesh Kumar,High,2024-12-22,1
The use of artificial intelligence is transforming modern education systems.,Dr. Meera Sharma,Low,2025-09-05,0
Students learn better when education is connected to real-life applications.,Dr. Neha Verma,Medium,2025-09-18,1
"Inclusive education ensures that every child, regardless of ability, gets equal learning opportunities.",Sandeep Reddy,High,2024-12-01,0
The use of artificial intelligence is transforming modern education systems.,Prof. Rajesh Kumar,High,2024-11-20,0
The use of artificial intelligence is transforming modern education systems.,Dr. Meera Sharma,Low,2025-02-11,0
Digital libraries have replaced traditional ones in many universities.,Rita Sahu,Low,2025-01-21,0
"Education should focus on creativity and critical thinking, not just memorization.",Sandeep Reddy,High,2025-04-05,1
Online learning has made education accessible to students in remote areas.,Mohit Agarwal,Medium,2025-08-14,0
Digital libraries have replaced traditional ones in many universities.,Dr. Meera Sharma,Low,2025-03-20,1
Online learning has made education accessible to students in remote areas.,Arun Patel,Low,2025-09-24,1
Modern classrooms are adopting smart boards and interactive learning tools.,Kiran Bhatia,High,2025-06-17,0
The use of artificial intelligence is transforming modern education systems.,Vikas Menon,Low,2025-02-18,1
Scholarships and financial aid allow talented students to pursue higher studies.,Anita Desai,Low,2025-08-28,1
Scholarships and financial aid allow talented students to pursue higher studies.,Vikas Menon,Medium,2024-11-23,1
Modern classrooms are adopting smart boards and interactive learning tools.,Anita Desai,Medium,2025-05-19,0
The use of artificial intelligence is transforming modern education systems.,Prof. Rajesh Kumar,Medium,2025-07-31,0
Modern classrooms are adopting smart boards and interactive learning tools.,Dr. Meera Sharma,High,2025-05-19,1
"Inclusive education ensures that every child, regardless of ability, gets equal learning opportunities.",Dr. Neha Verma,Low,2025-03-08,1
Students learn better when education is connected to real-life applications.,Kiran Bhatia,High,2025-04-05,0
"Inclusive education ensures that every child, regardless of ability, gets equal learning opportunities.",Kiran Bhatia,High,2025-01-15,0
Online learning has made education accessible to students in remote areas.,Sandeep Reddy,Low,2025-07-12,0
Modern classrooms are adopting smart boards and interactive learning tools.,Rita Sahu,Medium,2025-02-12,1
